Time,Avg Latency,Throughput,Reliability,Total Delivered,Total Dropped
30.1,0.0,0.0,1.0,0,0
30.2,0.1,6.8,1.0,34,0
30.3,0.1141,15.6,1.0,78,0
30.4,0.119,27.4,1.0,137,0
30.5,0.1212,37.8,1.0,189,0
30.6,0.1252,49.2,1.0,246,0
30.7,0.127,60.0,1.0,300,0
30.8,0.1283,72.0,1.0,360,0
30.9,0.1303,83.2,1.0,416,0
31.0,0.1319,94.0,1.0,470,0
31.1,0.13,104.8,1.0,524,0
31.2,0.1314,115.2,1.0,576,0
31.3,0.1306,126.8,1.0,634,0
31.4,0.1314,136.8,1.0,684,0
31.5,0.1306,147.0,1.0,735,0
31.6,0.1307,160.0,1.0,800,0
31.7,0.1292,171.0,1.0,855,0
31.8,0.1291,180.0,1.0,900,0
31.9,0.1291,189.0,1.0,945,0
32.0,0.1281,199.6,1.0,998,0
32.1,0.1278,210.4,1.0,1052,0
32.2,0.1273,219.6,1.0,1098,0
32.3,0.1284,229.8,1.0,1149,0
32.4,0.1281,242.4,1.0,1212,0
32.5,0.1288,252.4,1.0,1262,0
32.6,0.1287,264.6,1.0,1323,0
32.7,0.1289,274.2,1.0,1371,0
32.8,0.1291,287.0,1.0,1435,0
32.9,0.1288,298.8,1.0,1494,0
33.0,0.1288,310.6,1.0,1553,0
33.1,0.1287,326.8,1.0,1634,0
33.2,0.129,336.8,1.0,1684,0
33.3,0.129,346.0,1.0,1730,0
33.4,0.1291,356.6,1.0,1783,0
33.5,0.1296,366.8,1.0,1834,0
33.6,0.1304,376.8,1.0,1884,0
33.7,0.1309,388.8,1.0,1944,0
33.8,0.1316,399.4,1.0,1997,0
33.9,0.1318,409.2,1.0,2046,0
34.0,0.1323,418.6,1.0,2093,0
34.1,0.1323,428.0,1.0,2140,0
34.2,0.1336,438.4,1.0,2192,0
34.3,0.134,448.2,1.0,2241,0
34.4,0.1343,460.0,1.0,2300,0
34.5,0.1345,470.8,1.0,2354,0
34.6,0.1346,481.4,1.0,2407,0
34.7,0.1346,492.0,1.0,2460,0
34.8,0.1363,503.6,1.0,2518,0
34.9,0.1361,515.2,1.0,2576,0
35.0,0.1363,525.0,1.0,2625,0
35.1,0.138,537.2,1.0,2686,0
35.2,0.1391,543.0,1.0,2749,0
35.3,0.1398,549.8,1.0,2827,0
35.4,0.1398,551.0,1.0,2892,0
35.5,0.14,553.0,1.0,2954,0
35.6,0.1404,555.4,1.0,3023,0
35.7,0.1423,558.2,1.0,3091,0
35.8,0.1425,558.8,1.0,3154,0
35.9,0.1433,559.6,1.0,3214,0
36.0,0.1445,562.8,1.0,3284,0
36.1,0.1444,567.6,1.0,3362,0
36.2,0.1445,571.0,1.0,3431,0
36.3,0.1449,571.4,1.0,3491,0
36.4,0.1468,575.6,1.0,3562,0
36.5,0.1473,579.2,1.0,3631,0
36.6,0.1477,579.0,1.0,3695,0
36.7,0.1482,580.0,1.0,3755,0
36.8,0.1487,583.8,1.0,3819,0
36.9,0.1487,586.8,1.0,3879,0
37.0,0.1503,589.8,1.0,3947,0
37.1,0.1503,594.0,1.0,4022,0
37.2,0.1506,599.0,1.0,4093,0
37.3,0.1513,601.6,1.0,4157,0
37.4,0.1516,600.0,1.0,4212,0
37.5,0.1519,607.6,1.0,4300,0
37.6,0.1524,609.6,1.0,4371,0
37.7,0.1529,612.8,1.0,4435,0
37.8,0.1532,615.4,1.0,4512,0
37.9,0.1531,617.6,1.0,4582,0
